epoch,time_s,train_loss,train_auroc,val_loss,val_auroc,val_auprc
1,0.4974400997161865,0.8460923201507993,0.7898444745665978,0.49463382363319397,0.9324960753532182,0.8594160307241282
2,0.35669827461242676,0.47035135163201225,0.9436933723335948,0.5919910445809364,0.9368131868131868,0.8726827810576574
3,0.3487510681152344,0.4233774050242371,0.949543411571663,0.48429960757493973,0.9532967032967034,0.9030511167397267
4,0.35918521881103516,0.3246287442743778,0.970910323178997,0.7653580904006958,0.9481946624803768,0.8881751977528565
5,0.34955811500549316,0.274025820609596,0.9757437397445959,0.5678720697760582,0.9615384615384616,0.915515354733068
6,0.3585519790649414,0.3162015601992607,0.9686273810373117,0.6037315651774406,0.9646781789638932,0.9211373003835502
7,0.3498239517211914,0.29340581264760757,0.9777591496040523,0.671223059296608,0.9619309262166404,0.9180981433984673
8,0.3483729362487793,0.2849402430777748,0.9743704073624885,0.5720993801951408,0.9646781789638932,0.9140477580162415
9,0.34591197967529297,0.3374781370576885,0.9724085039594778,0.5740910619497299,0.9654631083202512,0.91706823480721
10,0.35712623596191406,0.20356756914407015,0.9883177570093458,0.5969938486814499,0.9654631083202512,0.91706823480721
11,0.34902024269104004,0.27102674461073345,0.9812905757294712,0.49110136553645134,0.966640502354788,0.9274533196314388
12,0.3475661277770996,0.33574930966521305,0.971926945851466,0.43315476551651955,0.9548665620094192,0.9209768481177033
13,0.3479428291320801,0.207985266422232,0.9887636441463936,0.618877999484539,0.9470172684458399,0.9067776788841128
14,0.35050296783447266,0.28711374398941797,0.978454733537847,0.4976346790790558,0.968210361067504,0.9396958983283678
15,0.3650219440460205,0.27471570515384275,0.979061140044232,0.4558882713317871,0.9693877551020409,0.9378841576729798
16,0.3592240810394287,0.27825998049229383,0.975297852607548,0.46218992210924625,0.9619309262166406,0.9253256983918315
17,0.3489830493927002,0.19244893764456114,0.9894948990511522,0.6858521327376366,0.9709576138147568,0.9363527277710476
18,0.34827280044555664,0.26908795080251163,0.9826995790825427,0.4209076873958111,0.9682103610675039,0.9369754391641434
19,0.34837770462036133,0.2744587231427431,0.9835735178711564,0.5653943791985512,0.9658555729984302,0.9307698569049567
20,0.3468179702758789,0.2058232921279139,0.9874438182207319,0.5089603923261166,0.9631083202511774,0.9267072900567842
21,0.350139856338501,0.21186529844999313,0.9887458086609118,0.5792342722415924,0.9670329670329669,0.9362727696451348
22,0.3589920997619629,0.2169571082211203,0.9898159377898266,0.4881204441189766,0.967032967032967,0.9383674257616046
23,0.34938526153564453,0.1855277991336253,0.9907077120639224,0.5384876914322376,0.966640502354788,0.9370473812150959
24,0.35135531425476074,0.18566663770212066,0.9927052864378969,0.5402951017022133,0.967425431711146,0.9371371266937768
25,0.34731578826904297,0.183793763216171,0.9916708282799458,0.5417565517127514,0.9678178963893249,0.9376568857399928
26,0.3474411964416504,0.2173624714422557,0.990368837839766,0.5688882991671562,0.9670329670329672,0.9386129342053224
27,0.34647607803344727,0.18763930961075756,0.9918135121638011,0.5384037531912327,0.966640502354788,0.9380789997012883
28,0.36109209060668945,0.19093328196969298,0.9869800955982021,0.5473716333508492,0.967425431711146,0.9384077848401999
29,0.362210750579834,0.12045489220569532,0.9963080545052436,0.5526799596846104,0.967032967032967,0.9378981200863492
30,0.3518850803375244,0.175745047421919,0.9913676250267532,0.5533851534128189,0.967032967032967,0.9378981200863492
31,0.35086703300476074,0.19899147029759157,0.9912784475993437,0.6060255989432335,0.966640502354788,0.9367867726781135
32,0.34700798988342285,0.1860467797766129,0.9915638153670543,0.7429123595356941,0.9689952904238619,0.9341493900748641
